city,number
Algeria,22
Argentina,35
Australia,79
Austria,50
Belgium,48
Bolivia,48
Brazil,57
Bulgaria,37
Canada,77
Chile,59
Colombia,20
Costa Rica,57
Croatia,38
Czechia,64
Denmark,59
Dominican Republic,29
Ecuador,35
Finland,51
France,57
Germany,59
Greece,72
Hong Kong,42
Hungary,46
India,12
Indonesia,16
Iran,25
Ireland,57
Israel,24
Italy,35
Japan,3
Malaysia,38
Mexico,29
Morocco,18
Netherlands,44
New Zealand,68
Nigeria,11
Norway,77
Pakistan,20
Peru,33
Philippines,68
Poland,42
Portugal,55
Puerto Rico,100
Romania,38
Russia,31
Saudi Arabia,16
Serbia,31
Singapore,79
Slovakia,27
South Africa,37
South Korea,12
Spain,53
Sweden,62
Switzerland,42
Taiwan,7
Thailand,31
Turkey,22
Ukraine,16
United Arab Emirates,38
United Kingdom,66
United States,81
Venezuela,16
Vietnam,14
