city,number
Argentina,2
Australia,26
Austria,20
Belgium,12
Brazil,3
Canada,29
Chile,4
Czechia,5
Denmark,10
Finland,15
France,17
Germany,23
Greece,3
Hong Kong,93
Hungary,5
Indonesia,2
Ireland,11
Italy,7
Japan,2
Macau,100
Malaysia,10
Mexico,4
Netherlands,11
New Zealand,17
Norway,18
Philippines,14
Poland,4
Portugal,6
Puerto Rico,27
Russia,3
Saudi Arabia,3
Singapore,35
South Africa,4
South Korea,5
Spain,9
Sweden,16
Switzerland,14
Taiwan,3
Thailand,7
Turkey,1
Ukraine,1
United Arab Emirates,5
United Kingdom,20
United States,29
Vietnam,1
