city,number
Argentina,9
Australia,78
Austria,52
Belgium,47
Brazil,15
Canada,64
Chile,14
Colombia,5
Czechia,30
Denmark,73
Finland,73
France,66
Germany,61
Greece,15
Hong Kong,38
Hungary,22
India,1
Indonesia,2
Iran,9
Ireland,71
Israel,15
Italy,21
Japan,1
Malaysia,9
Mexico,14
Netherlands,54
New Zealand,54
Norway,100
Pakistan,7
Philippines,9
Poland,28
Portugal,25
Romania,12
Russia,21
Saudi Arabia,14
Singapore,19
Slovakia,19
South Africa,21
South Korea,8
Spain,35
Sweden,73
Switzerland,47
Thailand,5
Turkey,5
Ukraine,8
United Arab Emirates,19
United Kingdom,97
United States,69
